eBay URL,Google search URL,Product Title
http://catalog.ebay.com/54845847,http://www.google.com/search?q=3Com SuperStack II NETBuilder 224 IP 2-Port Router (3C8224C),3Com SuperStack II NETBuilder 224 IP 2-Port Router (3C8224C)
http://catalog.ebay.com/54845853,http://www.google.com/search?q=Nortel Networks Marlin 1000 Wired Router (DB1001E03),Nortel Networks Marlin 1000 Wired Router (DB1001E03)
http://catalog.ebay.com/54845856,http://www.google.com/search?q=Cisco 676 1-Port Router (CISCO676-RF),Cisco 676 1-Port Router (CISCO676-RF)
http://catalog.ebay.com/54845863,http://www.google.com/search?q=Alcatel Access Point 1000 408288843 Router,Alcatel Access Point 1000 408288843 Router
http://catalog.ebay.com/54845866,http://www.google.com/search?q=Black Box Mini Router (LR721A),Black Box Mini Router (LR721A)
http://catalog.ebay.com/54845867,http://www.google.com/search?q=Adtran NetVanta 3305 2-Port 10/100 Wired Router (4200882L1),Adtran NetVanta 3305 2-Port 10/100 Wired Router (4200882L1)
http://catalog.ebay.com/54845877,http://www.google.com/search?q=3Com SuperStack II NETBuilder SI 537 Router (3CR853791),3Com SuperStack II NETBuilder SI 537 Router (3CR853791)
http://catalog.ebay.com/54845886,http://www.google.com/search?q=Adtran NetVanta 3205 2-Port 10/100 Wired Router (4200873L2),Adtran NetVanta 3205 2-Port 10/100 Wired Router (4200873L2)
http://catalog.ebay.com/54845887,http://www.google.com/search?q=Nortel Networks Remote Annex 4000 18-port Self-Boot Ethernet 18-Port Wired Router (CM1001067),Nortel Networks Remote Annex 4000 18-port Self-Boot Ethernet 18-Port Wired Router (CM1001067)
http://catalog.ebay.com/54845893,http://www.google.com/search?q=Cisco 3640 Gatekeeper Router (AP3640-GKS-DC),Cisco 3640 Gatekeeper Router (AP3640-GKS-DC)
http://catalog.ebay.com/54845896,http://www.google.com/search?q=Mitel Gandalf XPRESSWAY Router (MKT10422Z11),Mitel Gandalf XPRESSWAY Router (MKT10422Z11)
http://catalog.ebay.com/54845897,http://www.google.com/search?q=3Com OfficeConnect NETBuilder 121 T Boundary/SNA BR Wired Router (3C8861-AA),3Com OfficeConnect NETBuilder 121 T Boundary/SNA BR Wired Router (3C8861-AA)
http://catalog.ebay.com/54845903,http://www.google.com/search?q=Netopia R6131 ADSL 8-Port Wired Router (R6131),Netopia R6131 ADSL 8-Port Wired Router (R6131)
http://catalog.ebay.com/54845907,http://www.google.com/search?q=Nortel Networks FRE 2-040 Wired Router (74045-08),Nortel Networks FRE 2-040 Wired Router (74045-08)
http://catalog.ebay.com/54845913,http://www.google.com/search?q=IBM NWAYS 2210 Model 24T Router (86H1779),IBM NWAYS 2210 Model 24T Router (86H1779)
http://catalog.ebay.com/54845916,http://www.google.com/search?q=3Com OfficeConnect ISDN Lan Modem 4-Port 10/100 Wired Router (3C892),3Com OfficeConnect ISDN Lan Modem 4-Port 10/100 Wired Router (3C892)
http://catalog.ebay.com/54845923,http://www.google.com/search?q=Alcatel Access Point 300 300352267 Router,Alcatel Access Point 300 300352267 Router
http://catalog.ebay.com/54845926,http://www.google.com/search?q=Asante FriendlyNET FR3002AL-1PCM 2-Port 10/100 Wireless B Router (99-00659-91),Asante FriendlyNET FR3002AL-1PCM 2-Port 10/100 Wireless B Router (99-00659-91)
http://catalog.ebay.com/54845927,http://www.google.com/search?q=3Com OfficeConnect NETBuilder 147 U Multiprotocol 5-Port Wired Router (3C8857B-US),3Com OfficeConnect NETBuilder 147 U Multiprotocol 5-Port Wired Router (3C8857B-US)
http://catalog.ebay.com/54845936,http://www.google.com/search?q=Mitel Gandalf XPRESSCONNECT 5232I Router (10439Z3),Mitel Gandalf XPRESSCONNECT 5232I Router (10439Z3)
http://catalog.ebay.com/54845937,http://www.google.com/search?q=Compaq Digital DECswitch 900EE Router (DEBMP-FA),Compaq Digital DECswitch 900EE Router (DEBMP-FA)
http://catalog.ebay.com/54845943,http://www.google.com/search?q=Cisco 7202 10/100 Wired Router (CISCO7202-1C-E),Cisco 7202 10/100 Wired Router (CISCO7202-1C-E)
http://catalog.ebay.com/54845946,http://www.google.com/search?q=Adtran Express 5110 1202130L2 Router,Adtran Express 5110 1202130L2 Router
http://catalog.ebay.com/54845947,http://www.google.com/search?q=Nortel Networks Gateway VGS-3010 Router (AK3409010),Nortel Networks Gateway VGS-3010 Router (AK3409010)
http://catalog.ebay.com/54845953,http://www.google.com/search?q=Efficient Networks SpeedStream 5871 10/100 Router (120-5871-004),Efficient Networks SpeedStream 5871 10/100 Router (120-5871-004)
http://catalog.ebay.com/54845956,http://www.google.com/search?q=Enterasys SmartSwitch Router SSR-CMTS-4X1 Router,Enterasys SmartSwitch Router SSR-CMTS-4X1 Router
http://catalog.ebay.com/54845957,http://www.google.com/search?q=3Com OfficeConnect NETBuilder 141 S/T Boundary/SNA BR Router (3C8841A-AA),3Com OfficeConnect NETBuilder 141 S/T Boundary/SNA BR Router (3C8841A-AA)
http://catalog.ebay.com/54845963,http://www.google.com/search?q=Marconi Systems NSX 9500 Router (209-4110-041),Marconi Systems NSX 9500 Router (209-4110-041)
http://catalog.ebay.com/54845966,http://www.google.com/search?q=Gateway Wireless-G 54 Mbps 10/100 Wireless Router (WGR200),Gateway Wireless-G 54 Mbps 10/100 Wireless Router (WGR200)
http://catalog.ebay.com/54845967,http://www.google.com/search?q=Cisco C8545MSR-MRP3CLK/2 Router,Cisco C8545MSR-MRP3CLK/2 Router
http://catalog.ebay.com/54845976,http://www.google.com/search?q=Adtran NetVanta 3200 1-Port 10/100 Router (4200861L1),Adtran NetVanta 3200 1-Port 10/100 Router (4200861L1)
http://catalog.ebay.com/54845977,http://www.google.com/search?q=Alcatel GRF 400 GRF-4-AC Router,Alcatel GRF 400 GRF-4-AC Router
http://catalog.ebay.com/54845983,http://www.google.com/search?q=Alcatel Max Multi-Dsp 48 Port Card Mx-Sl-48M-Dsp MPN-300331550 Router,Alcatel Max Multi-Dsp 48 Port Card Mx-Sl-48M-Dsp MPN-300331550 Router
http://catalog.ebay.com/54845987,http://www.google.com/search?q=Intel Express 8220 1-Port 10/100 Wired Router (ER8220US),Intel Express 8220 1-Port 10/100 Wired Router (ER8220US)
http://catalog.ebay.com/54845996,http://www.google.com/search?q=Nortel Networks Remote Annex 4000 18-Port Wired Router (CM1001065),Nortel Networks Remote Annex 4000 18-Port Wired Router (CM1001065)
http://catalog.ebay.com/54845997,http://www.google.com/search?q=Alcatel Pipeline 130 P130-UBRI-V35-ASA Router,Alcatel Pipeline 130 P130-UBRI-V35-ASA Router
http://catalog.ebay.com/54846006,http://www.google.com/search?q=Eicon DIVA LAN 8-Port Wired Router (310-272),Eicon DIVA LAN 8-Port Wired Router (310-272)
http://catalog.ebay.com/54846013,http://www.google.com/search?q=Efficient Networks SpeedStream 2623 11 Mbps 3-Port 10/100 Wireless B Router (936-2623-001),Efficient Networks SpeedStream 2623 11 Mbps 3-Port 10/100 Wireless B Router (936-2623-001)
http://catalog.ebay.com/54846016,http://www.google.com/search?q=Alcatel Access Point 1000 300299047 Router,Alcatel Access Point 1000 300299047 Router
http://catalog.ebay.com/54846017,http://www.google.com/search?q=Nortel Networks FRE 2-040 Router (AG2104031),Nortel Networks FRE 2-040 Router (AG2104031)
http://catalog.ebay.com/54846033,http://www.google.com/search?q=Black Box LR1530A Router,Black Box LR1530A Router
http://catalog.ebay.com/54846037,http://www.google.com/search?q=Alcatel Access Point 450 408288082 Router,Alcatel Access Point 450 408288082 Router
http://catalog.ebay.com/54846046,http://www.google.com/search?q=Foundry Networks NetIron 1500 Router (NI-1500-DC),Foundry Networks NetIron 1500 Router (NI-1500-DC)
http://catalog.ebay.com/54846047,http://www.google.com/search?q=Alcatel SuperPipe 155 SP155-1T2UBRI Router,Alcatel SuperPipe 155 SP155-1T2UBRI Router
http://catalog.ebay.com/54846057,http://www.google.com/search?q=3Com SuperStack II NETBuilder 432 IP/IPX Router (3C8432-AA),3Com SuperStack II NETBuilder 432 IP/IPX Router (3C8432-AA)
http://catalog.ebay.com/54846063,http://www.google.com/search?q=3Com 003442-00 Router,3Com 003442-00 Router
http://catalog.ebay.com/54846067,http://www.google.com/search?q=Nortel Networks CQ2001C109 Router,Nortel Networks CQ2001C109 Router
http://catalog.ebay.com/54846073,http://www.google.com/search?q=Alcatel Pipeline 130 P130-UBRI-FT1 Router,Alcatel Pipeline 130 P130-UBRI-FT1 Router
http://catalog.ebay.com/54846083,http://www.google.com/search?q=Marconi Systems ESR 5000 Series II 219-1012-000 Router (219-1012-000),Marconi Systems ESR 5000 Series II 219-1012-000 Router (219-1012-000)
http://catalog.ebay.com/54846086,http://www.google.com/search?q=Nortel Networks 1500 2-Port 10/100 Wired Router,Nortel Networks 1500 2-Port 10/100 Wired Router
http://catalog.ebay.com/54846087,http://www.google.com/search?q=Nortel Networks Nautica Clam 824 Wired Router (DA1501E10),Nortel Networks Nautica Clam 824 Wired Router (DA1501E10)
http://catalog.ebay.com/54846097,http://www.google.com/search?q=Alcatel DSLPipe 300075389 Router,Alcatel DSLPipe 300075389 Router
