Product  SKU,Product Title,Colour,Website,Bullet Point 1,Bullet Point 2,Bullet Point 3
96302,G-Star Preppy Jumper,Cream,http://www.republic.co.uk/,,,
53272,G-Star Walter Hoody,Blue,http://www.republic.co.uk/,,,
68825,Miso Corset,Black,http://www.republic.co.uk/,,,
27181,Lipsy Swirl Bead Top,Black,http://www.republic.co.uk/,,,
75327,G-Star Force T-Shirt,White,http://www.republic.co.uk/,,,
62934,Lipsy Peplum Skirt,Black,http://www.republic.co.uk/,,,
75326,G-Star Hitchcock T-Shirt,Green,http://www.republic.co.uk/,,,
75329,G-Star Force T-Shirt,Blue,http://www.republic.co.uk/,,,
87116,Soul Cal Deluxe Tweed Puffa Gilet,Dark grey,http://www.republic.co.uk/,,,
75318,G-Star Harding T-Shirt,Red,http://www.republic.co.uk/,,,
76165,Fabric Hype logo T-Shirt,White,http://www.republic.co.uk/,,,
