Campaign Name,Campaign Id,Article Type,Editor Cost,Client Id,Max Word,Company Name,User Name,Cp Cost,Pay By Article,Cp Article Cost,Editor Article Cost,Nofa,Estimate Money,Estimate Total,Assigned Words
Dallas--TX--US--Near Airport,9737,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Dallas--TX--US--Flight Destination,9738,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Dallas--TX--US--Near Landmark,9739,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Jacksonville--FL--US--Near Landmark,9740,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Dallas--TX--US--Near Neighborhood,9741,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$108,126,1800
Dallas--TX--US--Top Hotel Properties,9743,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Jacksonville--FL--US--Hotel Destination,9744,127,0.010,350,1250,Hipmunk,Hipmunk,0.300,0,0.000,0.000,1,$375,387.5,1250
Dallas--TX--US--Hotel Destination,9745,120,0.010,350,1250,Hipmunk,Hipmunk,0.200,0,0.000,0.000,1,$250,262.5,1250
Jacksonville--FL--US--Flight Destination,9746,127,0.010,350,750,Hipmunk,Hipmunk,0.300,0,0.000,0.000,1,$225,232.5,750
Jacksonville--FL--US--Near Airport,9747,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Denver--CO--US--Best Of,9749,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Jacksonville--FL--US--Best Of,9750,121,0.010,350,750,Hipmunk,Hipmunk,0.250,0,0.000,0.000,3,$562.5,585,2250
Denver--CO--US--Near Airport,9751,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Denver--CO--US--Flight Destination,9752,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Denver--CO--US--Near Landmark,9753,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Denver--CO--US--Near Neighborhood,9754,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$108,126,1800
Denver--CO--US--Hotel Properties,9755,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Denver--CO--US--Hotel Destination,9757,120,0.010,350,1250,Hipmunk,Hipmunk,0.200,0,0.000,0.000,1,$250,262.5,1250
Hollywood--CA--US--Best Of,9758,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Hollywood--CA--US--Near Airport,9759,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Hollywood--CA--US--Flight Destination,9760,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Hollywood--CA--US--Hotel Properties,9763,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,9,$0,0,0
Hollywood--CA--US--Top Hotel Properties,9764,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Hollywood--CA--US--Hotel Destination,9766,121,0.010,350,1250,Hipmunk,Hipmunk,0.250,0,0.000,0.000,1,$312.5,325,1250
Santa Monica--CA--US--Near Airport,9769,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Santa Monica--CA--US--Flight Destination,9770,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Santa Monica--CA--US--Near Landmark,9771,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Santa Monica--CA--US--Hotel Properties,9773,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,11,$0,0,0
