EPID,CPID,eBay URL,Google search URL,Category Name,Catalog ID,Catalog Name,Product Title,PK,SK1,SK2,Desription
97353659,1413332303,http://catalog.ebay.com/97353659,http://www.google.com/search?q=Bogen Imaging 3006b Monopod,Cameras & Photo,772,Tripods,Bogen Imaging 3006b Monopod,,,,
97353671,1413331201,http://catalog.ebay.com/97353671,http://www.google.com/search?q=Gbc QRT50E Tripod,Cameras & Photo,772,Tripods,Gbc QRT50E Tripod,,,,
97353679,1413332347,http://catalog.ebay.com/97353679,http://www.google.com/search?q=Linhof 003454 Tripod,Cameras & Photo,772,Tripods,Linhof 003454 Tripod,,,,
97353681,1413331215,http://catalog.ebay.com/97353681,http://www.google.com/search?q=Tiffen ATERRAS3H Tripod,Cameras & Photo,772,Tripods,Tiffen ATERRAS3H Tripod,,,,
97353689,1413332351,http://catalog.ebay.com/97353689,http://www.google.com/search?q=Cullmann cu2200 Tripod,Cameras & Photo,772,Tripods,Cullmann cu2200 Tripod,,,,
97353691,1413331233,http://catalog.ebay.com/97353691,http://www.google.com/search?q=Libec LS55M2A Tripod,Cameras & Photo,772,Tripods,Libec LS55M2A Tripod,,,,
97353699,1413332273,http://catalog.ebay.com/97353699,http://www.google.com/search?q=Bogen Imaging 3182505 Tripod,Cameras & Photo,772,Tripods,Bogen Imaging 3182505 Tripod,,,,
97353701,1413331239,http://catalog.ebay.com/97353701,http://www.google.com/search?q=Manfrotto 545B Tripod,Cameras & Photo,772,Tripods,Manfrotto 545B Tripod,,,,
97353711,1413331245,http://catalog.ebay.com/97353711,http://www.google.com/search?q=Vidpro TT-250 Tripod,Cameras & Photo,772,Tripods,Vidpro TT-250 Tripod,,,,
97353719,1413332309,http://catalog.ebay.com/97353719,http://www.google.com/search?q=Cullmann 3430 Tripod,Cameras & Photo,772,Tripods,Cullmann 3430 Tripod,,,,
97353721,1413331263,http://catalog.ebay.com/97353721,http://www.google.com/search?q=Slik dst1 Tripod,Cameras & Photo,772,Tripods,Slik dst1 Tripod,,,,
97353729,1413332317,http://catalog.ebay.com/97353729,http://www.google.com/search?q=Manfrotto 3178GN3 Tripod,Cameras & Photo,772,Tripods,Manfrotto 3178GN3 Tripod,,,,
97353731,1413331269,http://catalog.ebay.com/97353731,http://www.google.com/search?q=Manfrotto 718B Tripod,Cameras & Photo,772,Tripods,Manfrotto 718B Tripod,,,,
97353739,1413332321,http://catalog.ebay.com/97353739,http://www.google.com/search?q=Varizoom VZ-ZG-TC100C Tripod,Cameras & Photo,772,Tripods,Varizoom VZ-ZG-TC100C Tripod,,,,
97353741,1413331277,http://catalog.ebay.com/97353741,http://www.google.com/search?q=Jtl 6000 Monopod,Cameras & Photo,772,Tripods,Jtl 6000 Monopod,,,,
97353749,1413332365,http://catalog.ebay.com/97353749,http://www.google.com/search?q=Vinten vb11cp2 Tripod,Cameras & Photo,772,Tripods,Vinten vb11cp2 Tripod,,,,
97353751,1413331289,http://catalog.ebay.com/97353751,http://www.google.com/search?q=Vidpro TT1000 Tripod,Cameras & Photo,772,Tripods,Vidpro TT1000 Tripod,,,,
97353759,1413332385,http://catalog.ebay.com/97353759,http://www.google.com/search?q=Vivitar 59838 Tripod,Cameras & Photo,772,Tripods,Vivitar 59838 Tripod,,,,
97353761,1413331297,http://catalog.ebay.com/97353761,http://www.google.com/search?q=Benro 455-158 Tripod,Cameras & Photo,772,Tripods,Benro 455-158 Tripod,,,,
97353769,1413332401,http://catalog.ebay.com/97353769,http://www.google.com/search?q=Meade b468173 Tripod,Cameras & Photo,772,Tripods,Meade b468173 Tripod,,,,
97353771,1413331325,http://catalog.ebay.com/97353771,http://www.google.com/search?q=Cullmann CU 52100 Tripod ,Cameras & Photo,772,Tripods,Cullmann CU 52100 Tripod ,,,,
